TIME,BLINK_CNT,EAR,TIME_ELP,BLNKRATE,TIME,TIME,BLNKRATE,BLINK_CNT,,,,,,,,,,
32:09.1,677,0.22,347,117,13:32:09,13:32:09,117,677,,,,,,,,,,
32:09.4,678,0.23,348,117,13:32:09,13:32:09,117,678,,,,,,,,,,
32:09.5,679,0.22,348,117,13:32:10,13:32:10,117,679,,,,,,,,,,
32:10.1,680,0.23,349,117,13:32:10,13:32:10,117,680,,,,,,,,,,
32:10.3,681,0.22,349,117,13:32:10,13:32:10,117,681,,,,,,,,,,
32:11.5,682,0.21,350,117,13:32:11,13:32:11,117,682,,,,,,,,,,
32:12.1,683,0.22,351,117,13:32:12,13:32:12,117,683,,,,,,,,,,
32:12.6,684,0.21,351,117,13:32:13,13:32:13,117,684,,,,,,,,,,
32:12.8,685,0.21,351,117,13:32:13,13:32:13,117,685,,,,,,,,,,
32:13.7,686,0.2,352,117,13:32:14,13:32:14,117,686,,,,,,,,,,
32:14.0,687,0.23,352,117,13:32:14,13:32:14,117,687,,,,,,,,,,
32:14.5,688,0.21,353,117,13:32:15,13:32:15,117,688,,,,,,,,,,
32:14.7,689,0.23,353,117,13:32:15,13:32:15,117,689,,,,,,,,,,
32:19.1,690,0.17,358,116,13:32:19,13:32:19,116,690,,,,,,,,,,
38:37.7,1,0.19,0,220,13:38:38,13:38:38,220,1,,,,,,,,,,
38:38.1,2,0.22,1,204,13:38:38,13:38:38,204,2,,,,,,,,,,
38:38.3,3,0.21,1,216,13:38:38,13:38:38,216,3,,,,,,,,,,
38:41.9,4,0.22,4,54,13:38:42,13:38:42,54,4,,,,,,,,,,
38:42.2,5,0.21,5,64,13:38:42,13:38:42,64,5,,,,,,,,,,
38:43.7,6,0.22,6,58,13:38:44,13:38:44,58,6,,,,,,,,,,
38:46.6,7,0.17,9,46,13:38:47,13:38:47,46,7,,,,,,,,,,
38:46.9,8,0.23,9,51,13:38:47,13:38:47,51,8,,,,,,,,,,
38:47.1,9,0.21,10,56,13:38:47,13:38:47,56,9,,,,,,,,,,
38:52.1,10,0.23,15,41,13:38:52,13:38:52,41,10,,,,,,,,,,
38:52.3,11,0.18,15,44,13:38:52,13:38:52,44,11,,,,,,,,,,
38:52.8,12,0.23,15,47,13:38:53,13:38:53,47,12,,,,,,,,,,
38:53.1,13,0.2,16,50,13:38:53,13:38:53,50,13,,,,,,,,,,
38:53.4,14,0.22,16,53,13:38:53,13:38:53,53,14,,,,,,,,,,
38:53.7,15,0.22,16,56,13:38:54,13:38:54,56,15,,,,,,,,,,
39:02.2,16,0.22,25,39,13:39:02,13:39:02,39,16,,,,,,,,,,
39:02.5,17,0.15,25,41,13:39:03,13:39:03,41,17,,,,,,,,,,
39:02.9,18,0.19,25,42,13:39:03,13:39:03,42,18,,,,,,,,,,
39:06.0,19,0.16,28,40,13:39:06,13:39:06,40,19,,,,,,,,,,
39:07.0,20,0.22,29,41,13:39:07,13:39:07,41,20,,,,,,,,,,
39:09.8,21,0.22,32,39,13:39:10,13:39:10,39,21,,,,,,,,,,
39:12.3,22,0.23,35,38,13:39:12,13:39:12,38,22,,,,,,,,,,
39:17.0,23,0.18,40,35,13:39:17,13:39:17,35,23,,,,,,,,,,
39:21.4,24,0.2,44,33,13:39:21,13:39:21,33,24,,,,,,,,,,
39:23.4,25,0.21,46,33,13:39:23,13:39:23,33,25,,,,,,,,,,
39:24.2,26,0.18,47,33,13:39:24,13:39:24,33,26,,,,,,,,,,
39:29.7,27,0.15,52,31,13:39:30,13:39:30,31,27,,,,,,,,,,
39:32.4,28,0.17,55,31,13:39:32,13:39:32,31,28,,,,,,,,,,
39:44.6,29,0.19,67,26,13:39:45,13:39:45,26,29,,,,,,,,,,
39:47.8,30,0.21,70,26,13:39:48,13:39:48,26,30,,,,,,,,,,
39:52.2,31,0.17,75,25,13:39:52,13:39:52,25,31,,,,,,,,,,
39:57.1,32,0.21,80,24,13:39:57,13:39:57,24,32,,,,,,,,,,
39:59.5,33,0.21,82,24,13:40:00,13:40:00,24,33,,,,,,,,,,
40:02.6,34,0.15,85,24,13:40:03,13:40:03,24,34,,,,,,,,,,
40:03.9,35,0.18,86,24,13:40:04,13:40:04,24,35,,,,,,,,,,
40:04.3,36,0.23,87,25,13:40:04,13:40:04,25,36,,,,,,,,,,
40:07.4,37,0.1,90,25,13:40:07,13:40:07,25,37,,,,,,,,,,
40:08.9,38,0.23,91,25,13:40:09,13:40:09,25,38,,,,,,,,,,
40:11.6,39,0.21,94,25,13:40:12,13:40:12,25,39,,,,,,,,,,
40:19.9,40,0.18,102,23,13:40:20,13:40:20,23,40,,,,,,,,,,
40:21.2,41,0.18,104,24,13:40:21,13:40:21,24,41,,,,,,,,,,
40:24.0,42,0.17,107,24,13:40:24,13:40:24,24,42,,,,,,,,,,
40:24.6,43,0.17,107,24,13:40:25,13:40:25,24,43,,,,,,,,,,
40:26.1,44,0.2,109,24,13:40:26,13:40:26,24,44,,,,,,,,,,
40:26.4,45,0.23,109,25,13:40:26,13:40:26,25,45,,,,,,,,,,
40:26.5,46,0.17,109,25,13:40:27,13:40:27,25,46,,,,,,,,,,
40:26.8,47,0.19,109,26,13:40:27,13:40:27,26,47,,,,,,,,,,
40:27.0,48,0.22,110,26,13:40:27,13:40:27,26,48,,,,,,,,,,
40:27.1,49,0.22,110,27,13:40:27,13:40:27,27,49,,,,,,,,,,
40:27.5,50,0.2,110,27,13:40:27,13:40:27,27,50,,,,,,,,,,
40:30.0,51,0.2,113,27,13:40:30,13:40:30,27,51,,,,,,,,,,
40:30.2,52,0.19,113,28,13:40:30,13:40:30,28,52,,,,,,,,,,
40:33.2,53,0.14,116,27,13:40:33,13:40:33,27,53,,,,,,,,,,
40:33.3,54,0.21,116,28,13:40:33,13:40:33,28,54,,,,,,,,,,
40:33.8,55,0.23,116,28,13:40:34,13:40:34,28,55,,,,,,,,,,
40:38.5,56,0.23,121,28,13:40:39,13:40:39,28,56,,,,,,,,,,
40:41.5,57,0.17,124,28,13:40:41,13:40:41,28,57,,,,,,,,,,
40:42.0,58,0.16,125,28,13:40:42,13:40:42,28,58,,,,,,,,,,
40:42.2,59,0.19,125,28,13:40:42,13:40:42,28,59,,,,,,,,,,
40:42.4,60,0.15,125,29,13:40:42,13:40:42,29,60,,,,,,,,,,
40:42.7,61,0.17,125,29,13:40:43,13:40:43,29,61,,,,,,,,,,
40:47.1,62,0.16,130,29,13:40:47,13:40:47,29,62,,,,,,,,,,
40:47.4,63,0.2,130,29,13:40:47,13:40:47,29,63,,,,,,,,,,
40:47.7,64,0.17,130,29,13:40:48,13:40:48,29,64,,,,,,,,,,
40:49.0,65,0.22,132,30,13:40:49,13:40:49,30,65,,,,,,,,,,
40:51.9,66,0.23,134,29,13:40:52,13:40:52,29,66,,,,,,,,,,
40:52.9,67,0.22,135,30,13:40:53,13:40:53,30,67,,,,,,,,,,
40:53.2,68,0.2,136,30,13:40:53,13:40:53,30,68,,,,,,,,,,
40:57.5,69,0.18,140,30,13:40:57,13:40:57,30,69,,,,,,,,,,
40:57.6,70,0.23,140,30,13:40:58,13:40:58,30,70,,,,,,,,,,
40:59.9,71,0.23,142,30,13:41:00,13:41:00,30,71,,,,,,,,,,
41:03.3,72,0.14,146,30,13:41:03,13:41:03,30,72,,,,,,,,,,
41:03.5,73,0.21,146,30,13:41:04,13:41:04,30,73,,,,,,,,,,
41:05.7,74,0.18,148,30,13:41:06,13:41:06,30,74,,,,,,,,,,
41:09.5,75,0.23,152,30,13:41:10,13:41:10,30,75,,,,,,,,,,
41:10.4,76,0.2,153,30,13:41:10,13:41:10,30,76,,,,,,,,,,
41:16.1,77,0.2,159,29,13:41:16,13:41:16,29,77,,,,,,,,,,
41:16.3,78,0.2,159,29,13:41:16,13:41:16,29,78,,,,,,,,,,
41:18.4,79,0.21,161,29,13:41:18,13:41:18,29,79,,,,,,,,,,
41:23.3,80,0.18,166,29,13:41:23,13:41:23,29,80,,,,,,,,,,
41:34.2,81,0.2,177,27,13:41:34,13:41:34,27,81,,,,,,,,,,
41:36.9,82,0.17,179,27,13:41:37,13:41:37,27,82,,,,,,,,,,
41:40.9,83,0.15,183,27,13:41:41,13:41:41,27,83,,,,,,,,,,
41:41.1,84,0.23,184,27,13:41:41,13:41:41,27,84,,,,,,,,,,
41:43.7,85,0.23,186,27,13:41:44,13:41:44,27,85,,,,,,,,,,
41:45.3,86,0.15,188,27,13:41:45,13:41:45,27,86,,,,,,,,,,
41:52.0,87,0.17,195,27,13:41:52,13:41:52,27,87,,,,,,,,,,
42:00.3,88,0.21,203,26,13:42:00,13:42:00,26,88,,,,,,,,,,
42:07.7,89,0.22,210,25,13:42:08,13:42:08,25,89,,,,,,,,,,
42:09.4,90,0.21,212,25,13:42:09,13:42:09,25,90,,,,,,,,,,
42:12.4,91,0.21,215,25,13:42:12,13:42:12,25,91,,,,,,,,,,
42:14.9,92,0.23,217,25,13:42:15,13:42:15,25,92,,,,,,,,,,
42:20.6,93,0.22,223,25,13:42:21,13:42:21,25,93,,,,,,,,,,
42:23.8,94,0.22,226,25,13:42:24,13:42:24,25,94,,,,,,,,,,
42:28.2,95,0.17,231,25,13:42:28,13:42:28,25,95,,,,,,,,,,
42:29.9,96,0.17,232,25,13:42:30,13:42:30,25,96,,,,,,,,,,
42:30.9,97,0.18,233,25,13:42:31,13:42:31,25,97,,,,,,,,,,
42:34.0,98,0.2,237,25,13:42:34,13:42:34,25,98,,,,,,,,,,
42:36.3,99,0.21,239,25,13:42:36,13:42:36,25,99,,,,,,,,,,
42:40.1,100,0.16,243,25,13:42:40,13:42:40,25,100,,,,,,,,,,
42:43.8,101,0.19,246,25,13:42:44,13:42:44,25,101,,,,,,,,,,
42:48.3,102,0.21,251,24,13:42:48,13:42:48,24,102,,,,,,,,,,
42:57.8,103,0.2,260,24,13:42:58,13:42:58,24,103,,,,,,,,,,
42:58.5,104,0.18,261,24,13:42:58,13:42:58,24,104,,,,,,,,,,
42:58.9,105,0.18,261,24,13:42:59,13:42:59,24,105,,,,,,,,,,
43:00.9,106,0.17,263,24,13:43:01,13:43:01,24,106,,,,,,,,,,
43:06.1,107,0.23,269,24,13:43:06,13:43:06,24,107,,,,,,,,,,
43:08.4,108,0.18,271,24,13:43:08,13:43:08,24,108,,,,,,,,,,
43:10.8,109,0.2,273,24,13:43:11,13:43:11,24,109,,,,,,,,,,
43:13.3,110,0.19,276,24,13:43:13,13:43:13,24,110,,,,,,,,,,
43:18.2,111,0.17,281,24,13:43:18,13:43:18,24,111,,,,,,,,,,
43:21.8,112,0.22,284,24,13:43:22,13:43:22,24,112,,,,,,,,,,
43:31.6,113,0.18,294,23,13:43:32,13:43:32,23,113,,,,,,,,,,
43:33.5,114,0.2,296,23,13:43:34,13:43:34,23,114,,,,,,,,,,
43:35.4,115,0.19,298,23,13:43:35,13:43:35,23,115,,,,,,,,,,
43:37.1,116,0.23,300,23,13:43:37,13:43:37,23,116,,,,,,,,,,
43:39.0,117,0.21,302,23,13:43:39,13:43:39,23,117,,,,,,,,,,
43:40.0,118,0.19,302,23,13:43:40,13:43:40,23,118,,,,,,,,,,
43:41.3,119,0.17,304,23,13:43:41,13:43:41,23,119,,,,,,,,,,
43:43.6,120,0.14,306,24,13:43:44,13:43:44,24,120,,,,,,,,,,
43:45.3,121,0.21,308,24,13:43:45,13:43:45,24,121,,,,,,,,,,
43:47.1,122,0.21,310,24,13:43:47,13:43:47,24,122,,,,,,,,,,
43:53.9,123,0.21,316,23,13:43:54,13:43:54,23,123,,,,,,,,,,
43:55.6,124,0.19,318,23,13:43:56,13:43:56,23,124,,,,,,,,,,
43:56.6,125,0.22,319,24,13:43:57,13:43:57,24,125,,,,,,,,,,
43:58.5,126,0.22,321,24,13:43:59,13:43:59,24,126,,,,,,,,,,
44:01.7,127,0.14,324,23,13:44:02,13:44:02,23,127,,,,,,,,,,
44:07.1,128,0.23,330,23,13:44:07,13:44:07,23,128,,,,,,,,,,
44:10.2,129,0.2,333,23,13:44:10,13:44:10,23,129,,,,,,,,,,
44:11.5,130,0.23,334,23,13:44:12,13:44:12,23,130,,,,,,,,,,
44:14.2,131,0.22,337,23,13:44:14,13:44:14,23,131,,,,,,,,,,
44:15.8,132,0.2,338,23,13:44:16,13:44:16,23,132,,,,,,,,,,
44:16.2,133,0.2,339,24,13:44:16,13:44:16,24,133,,,,,,,,,,
44:16.3,134,0.23,339,24,13:44:16,13:44:16,24,134,,,,,,,,,,
44:16.4,135,0.21,339,24,13:44:16,13:44:16,24,135,,,,,,,,,,
44:17.0,136,0.21,340,24,13:44:17,13:44:17,24,136,,,,,,,,,,
44:17.1,137,0.22,340,24,13:44:17,13:44:17,24,137,,,,,,,,,,
44:17.4,138,0.23,340,24,13:44:17,13:44:17,24,138,,,,,,,,,,
44:17.5,139,0.2,340,25,13:44:17,13:44:17,25,139,,,,,,,,,,
44:17.7,140,0.22,340,25,13:44:18,13:44:18,25,140,,,,,,,,,,
44:17.9,141,0.22,340,25,13:44:18,13:44:18,25,141,,,,,,,,,,
54:18.8,1,0.19,1,61,13:54:19,13:54:19,61,1,,,,,,,,,,
54:20.1,2,0.23,2,52,13:54:20,13:54:20,52,2,,,,,,,,,,
54:20.2,3,0.21,2,75,13:54:20,13:54:20,75,3,,,,,,,,,,
54:20.4,4,0.23,3,95,13:54:20,13:54:20,95,4,,,,,,,,,,
54:20.4,5,0.22,3,114,13:54:20,13:54:20,114,5,,,,,,,,,,
54:20.7,6,0.22,3,125,13:54:21,13:54:21,125,6,,,,,,,,,,
54:21.0,7,0.23,3,133,13:54:21,13:54:21,133,7,,,,,,,,,,
54:21.5,8,0.17,4,132,13:54:21,13:54:21,132,8,,,,,,,,,,
54:21.8,9,0.19,4,134,13:54:22,13:54:22,134,9,,,,,,,,,,
54:22.0,10,0.2,4,145,13:54:22,13:54:22,145,10,,,,,,,,,,
54:22.3,11,0.23,4,148,13:54:22,13:54:22,148,11,,,,,,,,,,
54:22.4,12,0.21,5,156,13:54:22,13:54:22,156,12,,,,,,,,,,
54:24.2,13,0.18,6,121,13:54:24,13:54:24,121,13,,,,,,,,,,
54:24.4,14,0.22,7,128,13:54:24,13:54:24,128,14,,,,,,,,,,
54:27.7,15,0.22,10,91,13:54:28,13:54:28,91,15,,,,,,,,,,
54:28.2,16,0.2,10,93,13:54:28,13:54:28,93,16,,,,,,,,,,
54:28.4,17,0.21,11,96,13:54:28,13:54:28,96,17,,,,,,,,,,
54:42.8,18,0.22,25,43,13:54:43,13:54:43,43,18,,,,,,,,,,
54:43.1,19,0.23,25,45,13:54:43,13:54:43,45,19,,,,,,,,,,
54:43.3,20,0.22,26,47,13:54:43,13:54:43,47,20,,,,,,,,,,
54:43.8,21,0.22,26,49,13:54:44,13:54:44,49,21,,,,,,,,,,
54:44.2,22,0.22,26,50,13:54:44,13:54:44,50,22,,,,,,,,,,
54:44.6,23,0.23,27,51,13:54:45,13:54:45,51,23,,,,,,,,,,
54:48.8,24,0.22,31,47,13:54:49,13:54:49,47,24,,,,,,,,,,
54:48.9,25,0.22,31,48,13:54:49,13:54:49,48,25,,,,,,,,,,
54:50.3,26,0.21,32,48,13:54:50,13:54:50,48,26,,,,,,,,,,
54:51.6,27,0.2,34,48,13:54:52,13:54:52,48,27,,,,,,,,,,
54:51.8,28,0.22,34,49,13:54:52,13:54:52,49,28,,,,,,,,,,
54:52.3,29,0.16,35,50,13:54:52,13:54:52,50,29,,,,,,,,,,
54:58.8,30,0.17,41,44,13:54:59,13:54:59,44,30,,,,,,,,,,
54:59.0,31,0.23,41,45,13:54:59,13:54:59,45,31,,,,,,,,,,
54:59.2,32,0.22,41,46,13:54:59,13:54:59,46,32,,,,,,,,,,
54:59.3,33,0.23,41,48,13:54:59,13:54:59,48,33,,,,,,,,,,
54:59.4,34,0.22,42,49,13:54:59,13:54:59,49,34,,,,,,,,,,
55:00.1,35,0.23,42,50,13:55:00,13:55:00,50,35,,,,,,,,,,
55:01.7,36,0.21,44,49,13:55:02,13:55:02,49,36,,,,,,,,,,
55:02.4,37,0.18,45,50,13:55:02,13:55:02,50,37,,,,,,,,,,
55:03.9,38,0.21,46,49,13:55:04,13:55:04,49,38,,,,,,,,,,
55:09.0,39,0.2,51,46,13:55:09,13:55:09,46,39,,,,,,,,,,
55:11.5,40,0.21,54,45,13:55:12,13:55:12,45,40,,,,,,,,,,
55:12.1,41,0.19,54,45,13:55:12,13:55:12,45,41,,,,,,,,,,
55:13.5,42,0.22,56,45,13:55:13,13:55:13,45,42,,,,,,,,,,
55:14.7,43,0.17,57,45,13:55:15,13:55:15,45,43,,,,,,,,,,
55:14.9,44,0.19,57,46,13:55:15,13:55:15,46,44,,,,,,,,,,
55:15.2,45,0.23,57,47,13:55:15,13:55:15,47,45,,,,,,,,,,
55:17.1,46,0.21,59,47,13:55:17,13:55:17,47,46,,,,,,,,,,
55:18.1,47,0.21,60,47,13:55:18,13:55:18,47,47,,,,,,,,,,
55:18.6,48,0.23,61,47,13:55:19,13:55:19,47,48,,,,,,,,,,
55:18.7,49,0.22,61,48,13:55:19,13:55:19,48,49,,,,,,,,,,
55:23.8,50,0.21,66,45,13:55:24,13:55:24,45,50,,,,,,,,,,
55:31.5,51,0.22,74,42,13:55:32,13:55:32,42,51,,,,,,,,,,
55:31.8,52,0.23,74,42,13:55:32,13:55:32,42,52,,,,,,,,,,
55:32.1,53,0.23,74,43,13:55:32,13:55:32,43,53,,,,,,,,,,
55:32.2,54,0.22,74,44,13:55:32,13:55:32,44,54,,,,,,,,,,
55:32.3,55,0.22,74,44,13:55:32,13:55:32,44,55,,,,,,,,,,
55:33.0,56,0.22,75,45,13:55:33,13:55:33,45,56,,,,,,,,,,
55:35.3,57,0.22,78,44,13:55:35,13:55:35,44,57,,,,,,,,,,
55:35.5,58,0.23,78,45,13:55:35,13:55:35,45,58,,,,,,,,,,
55:44.9,59,0.22,87,41,13:55:45,13:55:45,41,59,,,,,,,,,,
55:47.6,60,0.22,90,40,13:55:48,13:55:48,40,60,,,,,,,,,,
55:47.8,61,0.23,90,41,13:55:48,13:55:48,41,61,,,,,,,,,,
55:48.2,62,0.22,90,41,13:55:48,13:55:48,41,62,,,,,,,,,,
55:48.6,63,0.23,91,42,13:55:49,13:55:49,42,63,,,,,,,,,,
55:48.7,64,0.2,91,42,13:55:49,13:55:49,42,64,,,,,,,,,,
55:48.8,65,0.19,91,43,13:55:49,13:55:49,43,65,,,,,,,,,,
55:49.1,66,0.21,91,43,13:55:49,13:55:49,43,66,,,,,,,,,,
55:49.3,67,0.22,91,44,13:55:49,13:55:49,44,67,,,,,,,,,,
55:49.5,68,0.23,92,45,13:55:49,13:55:49,45,68,,,,,,,,,,
55:49.6,69,0.23,92,45,13:55:50,13:55:50,45,69,,,,,,,,,,
55:49.8,70,0.19,92,46,13:55:50,13:55:50,46,70,,,,,,,,,,
55:50.0,71,0.18,92,46,13:55:50,13:55:50,46,71,,,,,,,,,,
55:52.3,72,0.21,95,46,13:55:52,13:55:52,46,72,,,,,,,,,,
55:52.7,73,0.23,95,46,13:55:53,13:55:53,46,73,,,,,,,,,,
55:52.9,74,0.22,95,47,13:55:53,13:55:53,47,74,,,,,,,,,,
55:53.0,75,0.19,95,47,13:55:53,13:55:53,47,75,,,,,,,,,,
55:53.1,76,0.21,95,48,13:55:53,13:55:53,48,76,,,,,,,,,,
55:53.6,77,0.2,96,48,13:55:54,13:55:54,48,77,,,,,,,,,,
55:56.1,78,0.19,98,48,13:55:56,13:55:56,48,78,,,,,,,,,,
55:56.9,79,0.23,99,48,13:55:57,13:55:57,48,79,,,,,,,,,,
55:57.1,80,0.23,99,48,13:55:57,13:55:57,48,80,,,,,,,,,,
55:57.8,81,0.19,100,49,13:55:58,13:55:58,49,81,,,,,,,,,,
55:58.1,82,0.23,100,49,13:55:58,13:55:58,49,82,,,,,,,,,,
55:58.5,83,0.2,101,49,13:55:58,13:55:58,49,83,,,,,,,,,,
55:59.4,84,0.23,102,50,13:55:59,13:55:59,50,84,,,,,,,,,,
56:05.6,85,0.19,108,47,13:56:06,13:56:06,47,85,,,,,,,,,,
56:07.3,86,0.19,109,47,13:56:07,13:56:07,47,86,,,,,,,,,,
56:07.4,87,0.23,110,48,13:56:07,13:56:07,48,87,,,,,,,,,,
56:08.3,88,0.23,111,48,13:56:08,13:56:08,48,88,,,,,,,,,,
56:08.6,89,0.22,111,48,13:56:09,13:56:09,48,89,,,,,,,,,,
56:08.8,90,0.23,111,49,13:56:09,13:56:09,49,90,,,,,,,,,,
56:09.1,91,0.23,111,49,13:56:09,13:56:09,49,91,,,,,,,,,,
56:09.3,92,0.23,111,50,13:56:09,13:56:09,50,92,,,,,,,,,,
56:09.5,93,0.23,112,50,13:56:09,13:56:09,50,93,,,,,,,,,,
56:09.9,94,0.23,112,50,13:56:10,13:56:10,50,94,,,,,,,,,,
56:10.1,95,0.23,112,51,13:56:10,13:56:10,51,95,,,,,,,,,,
56:10.2,96,0.22,112,51,13:56:10,13:56:10,51,96,,,,,,,,,,
56:10.4,97,0.22,113,52,13:56:10,13:56:10,52,97,,,,,,,,,,
56:10.5,98,0.22,113,52,13:56:11,13:56:11,52,98,,,,,,,,,,
56:13.7,99,0.22,116,51,13:56:14,13:56:14,51,99,,,,,,,,,,
56:15.9,100,0.23,118,51,13:56:16,13:56:16,51,100,,,,,,,,,,
56:16.1,101,0.22,118,51,13:56:16,13:56:16,51,101,,,,,,,,,,
56:16.3,102,0.19,118,52,13:56:16,13:56:16,52,102,,,,,,,,,,
56:16.5,103,0.22,119,52,13:56:16,13:56:16,52,103,,,,,,,,,,
56:17.0,104,0.21,119,52,13:56:17,13:56:17,52,104,,,,,,,,,,
56:17.2,105,0.23,119,53,13:56:17,13:56:17,53,105,,,,,,,,,,
56:17.4,106,0.21,120,53,13:56:17,13:56:17,53,106,,,,,,,,,,
56:17.9,107,0.21,120,53,13:56:18,13:56:18,53,107,,,,,,,,,,
56:18.9,108,0.22,121,53,13:56:19,13:56:19,53,108,,,,,,,,,,
56:22.0,109,0.17,124,53,13:56:22,13:56:22,53,109,,,,,,,,,,
56:22.2,110,0.2,124,53,13:56:22,13:56:22,53,110,,,,,,,,,,
56:22.4,111,0.22,125,53,13:56:22,13:56:22,53,111,,,,,,,,,,
56:25.7,112,0.2,128,53,13:56:26,13:56:26,53,112,,,,,,,,,,
56:30.2,113,0.2,132,51,13:56:30,13:56:30,51,113,,,,,,,,,,
56:30.6,114,0.21,133,52,13:56:31,13:56:31,52,114,,,,,,,,,,
56:31.4,115,0.21,134,52,13:56:31,13:56:31,52,115,,,,,,,,,,
56:31.7,116,0.19,134,52,13:56:32,13:56:32,52,116,,,,,,,,,,
56:32.3,117,0.16,134,52,13:56:32,13:56:32,52,117,,,,,,,,,,
56:35.0,118,0.2,137,52,13:56:35,13:56:35,52,118,,,,,,,,,,
56:35.5,119,0.2,138,52,13:56:35,13:56:35,52,119,,,,,,,,,,
56:41.7,120,0.18,144,50,13:56:42,13:56:42,50,120,,,,,,,,,,
56:42.4,121,0.23,145,50,13:56:42,13:56:42,50,121,,,,,,,,,,
56:43.8,122,0.21,146,50,13:56:44,13:56:44,50,122,,,,,,,,,,
56:50.2,123,0.18,152,48,13:56:50,13:56:50,48,123,,,,,,,,,,
56:50.5,124,0.16,153,49,13:56:51,13:56:51,49,124,,,,,,,,,,
56:50.9,125,0.16,153,49,13:56:51,13:56:51,49,125,,,,,,,,,,
56:51.2,126,0.21,153,49,13:56:51,13:56:51,49,126,,,,,,,,,,
56:53.0,127,0.2,155,49,13:56:53,13:56:53,49,127,,,,,,,,,,
57:05.3,128,0.19,168,46,13:57:05,13:57:05,46,128,,,,,,,,,,
57:19.5,129,0.19,182,43,13:57:20,13:57:20,43,129,,,,,,,,,,
57:24.9,130,0.22,187,42,13:57:25,13:57:25,42,130,,,,,,,,,,
57:35.1,131,0.19,197,40,13:57:35,13:57:35,40,131,,,,,,,,,,
57:36.2,132,0.22,198,40,13:57:36,13:57:36,40,132,,,,,,,,,,
57:36.5,133,0.21,199,40,13:57:37,13:57:37,40,133,,,,,,,,,,
57:36.8,134,0.21,199,40,13:57:37,13:57:37,40,134,,,,,,,,,,
57:37.4,135,0.23,200,41,13:57:37,13:57:37,41,135,,,,,,,,,,
57:37.7,136,0.22,200,41,13:57:38,13:57:38,41,136,,,,,,,,,,
57:38.0,137,0.22,200,41,13:57:38,13:57:38,41,137,,,,,,,,,,
57:38.1,138,0.21,200,41,13:57:38,13:57:38,41,138,,,,,,,,,,
57:38.2,139,0.22,200,42,13:57:38,13:57:38,42,139,,,,,,,,,,
57:38.9,140,0.23,201,42,13:57:39,13:57:39,42,140,,,,,,,,,,
57:40.7,141,0.21,203,42,13:57:41,13:57:41,42,141,,,,,,,,,,
57:40.9,142,0.22,203,42,13:57:41,13:57:41,42,142,,,,,,,,,,
57:41.0,143,0.23,203,42,13:57:41,13:57:41,42,143,,,,,,,,,,
57:52.4,144,0.21,215,40,13:57:52,13:57:52,40,144,,,,,,,,,,
57:52.5,145,0.23,215,41,13:57:52,13:57:52,41,145,,,,,,,,,,
57:52.6,146,0.2,215,41,13:57:53,13:57:53,41,146,,,,,,,,,,
57:53.0,147,0.21,215,41,13:57:53,13:57:53,41,147,,,,,,,,,,
57:53.1,148,0.22,215,41,13:57:53,13:57:53,41,148,,,,,,,,,,
57:54.7,149,0.21,217,41,13:57:55,13:57:55,41,149,,,,,,,,,,
57:55.5,150,0.21,218,41,13:57:56,13:57:56,41,150,,,,,,,,,,
58:01.2,151,0.21,223,41,13:58:01,13:58:01,41,151,,,,,,,,,,
58:04.2,152,0.19,226,40,13:58:04,13:58:04,40,152,,,,,,,,,,
58:05.9,153,0.22,228,40,13:58:06,13:58:06,40,153,,,,,,,,,,
58:06.1,154,0.21,228,40,13:58:06,13:58:06,40,154,,,,,,,,,,
58:07.0,155,0.19,229,41,13:58:07,13:58:07,41,155,,,,,,,,,,
58:10.3,156,0.2,233,40,13:58:10,13:58:10,40,156,,,,,,,,,,
58:11.0,157,0.21,233,40,13:58:11,13:58:11,40,157,,,,,,,,,,
58:13.0,158,0.19,235,40,13:58:13,13:58:13,40,158,,,,,,,,,,
58:13.2,159,0.19,235,41,13:58:13,13:58:13,41,159,,,,,,,,,,
58:13.3,160,0.22,236,41,13:58:13,13:58:13,41,160,,,,,,,,,,
58:13.8,161,0.22,236,41,13:58:14,13:58:14,41,161,,,,,,,,,,
58:13.9,162,0.21,236,41,13:58:14,13:58:14,41,162,,,,,,,,,,
58:14.1,163,0.15,236,41,13:58:14,13:58:14,41,163,,,,,,,,,,
58:14.2,164,0.22,236,42,13:58:14,13:58:14,42,164,,,,,,,,,,
58:14.4,165,0.21,237,42,13:58:14,13:58:14,42,165,,,,,,,,,,
58:15.0,166,0.17,237,42,13:58:15,13:58:15,42,166,,,,,,,,,,
58:15.3,167,0.22,237,42,13:58:15,13:58:15,42,167,,,,,,,,,,
58:15.5,168,0.21,238,42,13:58:15,13:58:15,42,168,,,,,,,,,,
58:15.9,169,0.21,238,43,13:58:16,13:58:16,43,169,,,,,,,,,,
58:15.9,170,0.22,238,43,13:58:16,13:58:16,43,170,,,,,,,,,,
58:16.3,171,0.22,239,43,13:58:16,13:58:16,43,171,,,,,,,,,,
58:16.7,172,0.19,239,43,13:58:17,13:58:17,43,172,,,,,,,,,,
58:18.4,173,0.22,241,43,13:58:18,13:58:18,43,173,,,,,,,,,,
58:18.7,174,0.19,241,43,13:58:19,13:58:19,43,174,,,,,,,,,,
58:18.8,175,0.19,241,44,13:58:19,13:58:19,44,175,,,,,,,,,,
58:19.0,176,0.23,241,44,13:58:19,13:58:19,44,176,,,,,,,,,,
